Username,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,Risk,Loyalty_Segment,Risk_Code,Loyalty_Code
amiri930,17,19,117,2,4,2,242,8,Green,Casual Players,1,0
amjune,12,42,521,3,4,2,342,9,Green,Loyal Customers,1,2
anajovielyn,15,44,1468,3,4,3,343,10,Amber,Loyal Customers,2,2
anaktee,14,13,290,3,4,2,342,9,Green,Loyal Customers,1,2
anap,1,34,42674,4,4,4,444,12,Green,VIP,1,3
anastasiya555,19,8,70,2,3,1,231,6,Green,Casual Players,1,0
anda9115,17,1,300,2,1,2,212,5,Green,Casual Players,1,0
andaya24,2,5,47,4,3,1,431,8,Green,Casual Players,1,0
andbig,1,55,20363,4,4,4,444,12,Green,VIP,1,3
andmor,17,12,30,2,4,1,241,7,Green,Casual Players,1,0
andoshey,11,1,10000,3,1,4,314,8,Green,Casual Players,1,0
andre888,6,4,239,3,3,2,332,8,Green,Casual Players,1,0
andreevaa,5,8,1010,4,3,3,433,10,Green,Casual Players,1,0
andrestk,37,1,100,1,1,1,111,3,Green,Casual Players,1,0
andrew263,1,1,90,4,1,1,411,6,Green,New,1,1
andrey447,8,4,14,3,3,1,331,7,Green,Casual Players,1,0
andros,38,2,295,1,2,2,122,5,Green,Casual Players,1,0
angela,28,1,144,2,1,2,212,5,Green,Casual Players,1,0
angels_,7,5,548,3,3,2,332,8,Green,Casual Players,1,0
angels_2424,5,8,11786,4,3,4,434,11,Green,Casual Players,1,0
anikaush,13,1,4000,3,1,3,313,7,Green,Casual Players,1,0
animosity01,34,3,1032,1,2,3,123,6,Green,Casual Players,1,0
annoos,4,2,3500,4,2,3,423,9,Green,New,1,1
anotherskateralt,30,1,500,1,1,2,112,4,Green,Casual Players,1,0
antaresgold,1,72,88633,4,4,4,444,12,Green,VIP,1,3
antitrem,3,3,65,4,2,1,421,7,Green,New,1,1
antmt,4,3,600,4,2,2,422,8,Green,New,1,1
anton02_87,1,62,475,4,4,2,442,10,Green,Loyal Customers,1,2
antonio9696,10,1,400,3,1,2,312,6,Green,Casual Players,1,0
anvers77,37,1,1000,1,1,3,113,5,Green,Casual Players,1,0
anvil,37,4,208,1,3,2,132,6,Green,Casual Players,1,0
ape,15,1,1153,3,1,3,313,7,Green,Casual Players,1,0
apossirumrun,1,1,13,4,1,1,411,6,Green,New,1,1
aquablue,32,10,365589,1,3,4,134,8,Amber,Casual Players,2,0
aquaphoria,4,1,5500,4,1,4,414,9,Green,New,1,1
arcsvr,25,1,6000,2,1,4,214,7,Green,Casual Players,1,0
ardu,6,51,52546,3,4,4,344,11,Amber,Loyal Customers,2,2
arhunt,24,2,2500,2,2,3,223,7,Green,Casual Players,1,0
arielo,4,9,187,4,3,2,432,9,Green,Casual Players,1,0
arivunithi,32,5,35,1,3,1,131,5,Green,Casual Players,1,0
arrianj,15,6,1091,3,3,3,333,9,Amber,Casual Players,2,0
arrivek,30,37,379,1,4,2,142,7,Green,Casual Players,1,0
arrowhead5,1,25,4624,4,4,3,443,11,Green,Loyal Customers,1,2
art14,1,109,849,4,4,2,442,10,Green,Loyal Customers,1,2
artemkalol,10,11,362,3,4,2,342,9,Green,Loyal Customers,1,2
artex21,38,1,100,1,1,1,111,3,Green,Casual Players,1,0
articol31,9,1,7093,3,1,4,314,8,Green,Casual Players,1,0
artocus,41,1,25,1,1,1,111,3,Green,Casual Players,1,0
artyom18841,38,1,100,1,1,1,111,3,Green,Casual Players,1,0
artyom18842,17,8,1045,2,3,3,233,8,Amber,Casual Players,2,0
artyom18843,37,3,123,1,2,2,122,5,Green,Casual Players,1,0
artyom18844,24,12,2895,2,4,3,243,9,Amber,Casual Players,2,0
artyom18845,23,2,1395,2,2,3,223,7,Green,Casual Players,1,0
artysem,13,18,325,3,4,2,342,9,Green,Loyal Customers,1,2
arun,11,2,26,3,2,1,321,6,Green,Casual Players,1,0
aryavibhu,1,4,1368,4,3,3,433,10,Green,Casual Players,1,0
as24df,34,14,142,1,4,2,142,7,Green,Casual Players,1,0
asadnaveed,8,28,1906,3,4,3,343,10,Amber,Loyal Customers,2,2
asanecra,25,3,2500,2,2,3,223,7,Green,Casual Players,1,0
asasas0224,16,1,8000,2,1,4,214,7,Green,Casual Players,1,0
ashim,10,7,1335,3,3,3,333,9,Amber,Casual Players,2,0
asif400,16,1,12,2,1,1,211,4,Green,Casual Players,1,0
aspire,35,8,1458,1,3,3,133,7,Amber,Casual Players,2,0
asprunner,28,2,51,2,2,1,221,5,Green,Casual Players,1,0
assefmonkey,5,18,17555,4,4,4,444,12,Green,VIP,1,3
asuh420,36,1,2833,1,1,3,113,5,Green,Casual Players,1,0
atQ67Vt,12,13,876,3,4,2,342,9,Green,Loyal Customers,1,2
atom123,1,27,21913,4,4,4,444,12,Green,VIP,1,3
augustuswynne,16,1,200,2,1,2,212,5,Green,Casual Players,1,0
autoboy,19,76,288171,2,4,4,244,10,Red,Casual Players,3,0
avsterbone,39,2,92,1,2,1,121,4,Green,Casual Players,1,0
avtandillom,8,75,8899,3,4,4,344,11,Amber,Loyal Customers,2,2
axid9092688,2,51,257,4,4,2,442,10,Green,Loyal Customers,1,2
ayubkarimi587,12,13,4200,3,4,3,343,10,Amber,Loyal Customers,2,2
ayyelmo,4,3,33,4,2,1,421,7,Green,New,1,1
azazaz,17,95,14272,2,4,4,244,10,Red,Casual Players,3,0
azoote78,25,2,2,2,2,1,221,5,Green,Casual Players,1,0
azus88,7,1,1,3,1,1,311,5,Green,Casual Players,1,0
baasdaniel,1,2,5001,4,2,3,423,9,Green,New,1,1
babur,26,2,550,2,2,2,222,6,Green,Casual Players,1,0
baekhap12,1,14,20040,4,4,4,444,12,Green,VIP,1,3
bagen,8,118,4163,3,4,3,343,10,Amber,Loyal Customers,2,2
bagenof,11,72,5322,3,4,3,343,10,Amber,Loyal Customers,2,2
bagga2332,6,5,1902,3,3,3,333,9,Amber,Casual Players,2,0
bagration,1,134,22249,4,4,4,444,12,Green,VIP,1,3
bajg2014,31,5,710,1,3,2,132,6,Green,Casual Players,1,0
bakst33n,40,1,1,1,1,1,111,3,Green,Casual Players,1,0
balmi211,37,1,200,1,1,2,112,4,Green,Casual Players,1,0
balo1994,27,2,5,2,2,1,221,5,Green,Casual Players,1,0
bandar,25,1,5000,2,1,3,213,6,Green,Casual Players,1,0
banho,7,18,1168,3,4,3,343,10,Amber,Loyal Customers,2,2
banksome,10,5,74,3,3,1,331,7,Green,Casual Players,1,0
bannanahouse,32,2,13647,1,2,4,124,7,Green,Casual Players,1,0
banno,1,39,357,4,4,2,442,10,Green,Loyal Customers,1,2
banno19880,22,35,125,2,4,2,242,8,Green,Casual Players,1,0
banque,21,3,3,2,2,1,221,5,Green,Casual Players,1,0
barbarosa1516,31,8,237,1,3,2,132,6,Green,Casual Players,1,0
barely,41,1,160,1,1,2,112,4,Green,Casual Players,1,0
base,39,12,2447,1,4,3,143,8,Amber,Casual Players,2,0
basoucai2,27,11,336,2,4,2,242,8,Green,Casual Players,1,0
batangmelle2,2,26,6465,4,4,4,444,12,Green,VIP,1,3
batmon,5,1,15,4,1,1,411,6,Green,New,1,1
baz2469,34,1,269,1,1,2,112,4,Green,Casual Players,1,0
bbsrking-1,13,4,155115,3,3,4,334,10,Amber,Casual Players,2,0
bcn000,24,8,20439,2,3,4,234,9,Amber,Casual Players,2,0
bcw323,11,8,6606,3,3,4,334,10,Amber,Casual Players,2,0
beabit,27,5,5000,2,3,3,233,8,Amber,Casual Players,2,0
beetleboy,7,1,25,3,1,1,311,5,Green,Casual Players,1,0
bellino88,31,2,200,1,2,2,122,5,Green,Casual Players,1,0
benaam,25,1,100,2,1,1,211,4,Green,Casual Players,1,0
benim,10,1,200,3,1,2,312,6,Green,Casual Players,1,0
benjovis,30,75,1040,1,4,3,143,8,Amber,Casual Players,2,0
benzenhen,16,3,6010,2,2,4,224,8,Green,Casual Players,1,0
berg,5,10,19179,4,3,4,434,11,Green,Casual Players,1,0
berserker,5,38,201966,4,4,4,444,12,Green,VIP,1,3
bertoyabang,7,10,52427,3,3,4,334,10,Amber,Casual Players,2,0
beth,1,13,1396300,4,4,4,444,12,Green,VIP,1,3
bezya9999,10,16,2971,3,4,3,343,10,Amber,Loyal Customers,2,2
bfgcash,10,12,398,3,4,2,342,9,Green,Loyal Customers,1,2
bhatti,3,1,3,4,1,1,411,6,Green,New,1,1
bhavya,6,7,70620,3,3,4,334,10,Amber,Casual Players,2,0
bientutti,10,73,358,3,4,2,342,9,Green,Loyal Customers,1,2
biga,26,88,2407,2,4,3,243,9,Amber,Casual Players,2,0
bigdankroot420,1,1,500,4,1,2,412,7,Green,New,1,1
bigoteman,33,10,312,1,3,2,132,6,Green,Casual Players,1,0
billy85,31,2,2000,1,2,3,123,6,Green,Casual Players,1,0
bimlesh,31,1,100,1,1,1,111,3,Green,Casual Players,1,0
binbag,40,1,20,1,1,1,111,3,Green,Casual Players,1,0
binnybins,32,3,245,1,2,2,122,5,Green,Casual Players,1,0
bird177,18,23,108122,2,4,4,244,10,Red,Casual Players,3,0
biscuitxs,14,1,250,3,1,2,312,6,Green,Casual Players,1,0
bishtnikhil,4,1,100,4,1,1,411,6,Green,New,1,1
bisu,26,1,600,2,1,2,212,5,Green,Casual Players,1,0
bitbitchin,20,5,244,2,3,2,232,7,Green,Casual Players,1,0
bitboooom,3,5,65639,4,3,4,434,11,Green,Casual Players,1,0
bitcoinbandit,36,1,10,1,1,1,111,3,Green,Casual Players,1,0
bitcoinlover,27,1,1000,2,1,3,213,6,Green,Casual Players,1,0
bitdoge33,34,3,57420,1,2,4,124,7,Green,Casual Players,1,0
bitmap,9,5,2811,3,3,3,333,9,Amber,Casual Players,2,0
bitstobricks,4,27,20456,4,4,4,444,12,Green,VIP,1,3
blacke3636,11,22,450,3,4,2,342,9,Green,Loyal Customers,1,2
blackpen,12,1,777,3,1,2,312,6,Green,Casual Players,1,0
blacksilver2,1,6,11985,4,3,4,434,11,Green,Casual Players,1,0
blackz0ul,2,8,30695,4,3,4,434,11,Green,Casual Players,1,0
blazemckibbin,20,3,29300,2,2,4,224,8,Green,Casual Players,1,0
bleckers,3,1,50,4,1,1,411,6,Green,New,1,1
blee2,1,8,600,4,3,2,432,9,Green,Casual Players,1,0
blessings,29,1,20,1,1,1,111,3,Green,Casual Players,1,0
blim,7,10,4027,3,3,3,333,9,Amber,Casual Players,2,0
bloingblorm,13,3,18,3,2,1,321,6,Green,Casual Players,1,0
bloke-,17,22,1167,2,4,3,243,9,Amber,Casual Players,2,0
bloodysizer4321,8,1,22,3,1,1,311,5,Green,Casual Players,1,0
blountb1,26,76,512,2,4,2,242,8,Green,Casual Players,1,0
bluntpower,37,14,1609,1,4,3,143,8,Amber,Casual Players,2,0
blvckceiling,26,2,1629,2,2,3,223,7,Green,Casual Players,1,0
blxxxx,14,1,500,3,1,2,312,6,Green,Casual Players,1,0
bnk2mc,17,1,300,2,1,2,212,5,Green,Casual Players,1,0
bob12345,13,2,18,3,2,1,321,6,Green,Casual Players,1,0
bob81,8,1,5000,3,1,3,313,7,Green,Casual Players,1,0
bob908,39,2,2091,1,2,3,123,6,Green,Casual Players,1,0
bobbyzed,5,23,111,4,4,2,442,10,Green,Loyal Customers,1,2
bobgreene,22,37,4534,2,4,3,243,9,Amber,Casual Players,2,0
bobgreene2,19,3,3,2,2,1,221,5,Green,Casual Players,1,0
bobi3333,2,28,1123,4,4,3,443,11,Green,Loyal Customers,1,2
bobo12,1,164,3775,4,4,3,443,11,Green,Loyal Customers,1,2
bobyposo,4,1,50,4,1,1,411,6,Green,New,1,1
bocahnakal207,2,10,13874,4,3,4,434,11,Green,Casual Players,1,0
bohdando,3,1,20,4,1,1,411,6,Green,New,1,1
bohdando345,5,1,2000,4,1,3,413,8,Green,New,1,1
bohnfire1,11,2,10750,3,2,4,324,9,Green,Casual Players,1,0
bokbok25,32,11,2081,1,4,3,143,8,Amber,Casual Players,2,0
boldstar50,10,1,93,3,1,1,311,5,Green,Casual Players,1,0
boltanius,34,1,16300,1,1,4,114,6,Green,Casual Players,1,0
bondar,37,1,1,1,1,1,111,3,Green,Casual Players,1,0
boner5u,16,6,9069,2,3,4,234,9,Amber,Casual Players,2,0
bonkura,8,9,190,3,3,2,332,8,Green,Casual Players,1,0
bonprix,30,36,313,1,4,2,142,7,Green,Casual Players,1,0
bonusattempt,15,3,112,3,2,2,322,7,Green,Casual Players,1,0
boomtarat,41,1,1000,1,1,3,113,5,Green,Casual Players,1,0
borxos,8,5,865,3,3,2,332,8,Green,Casual Players,1,0
bossjhoe,10,4,9000,3,3,4,334,10,Amber,Casual Players,2,0
bot,15,3,43255,3,2,4,324,9,Green,Casual Players,1,0
bought2768,23,1,4000,2,1,3,213,6,Green,Casual Players,1,0
boyka2,1,43,68079,4,4,4,444,12,Green,VIP,1,3
boykoaleks,1,117,106521,4,4,4,444,12,Green,VIP,1,3
bpjs,16,5,112,2,3,2,232,7,Green,Casual Players,1,0
bppatel23,37,1,5805,1,1,4,114,6,Green,Casual Players,1,0
brainiax,15,2,130,3,2,2,322,7,Green,Casual Players,1,0
branixzz,1,10,1097,4,3,3,433,10,Green,Casual Players,1,0
brayanovic,4,8,156,4,3,2,432,9,Green,Casual Players,1,0
breezyTree,16,1,1000,2,1,3,213,6,Green,Casual Players,1,0
brend83,32,3,400,1,2,2,122,5,Green,Casual Players,1,0
brespibelts,11,5,50400,3,3,4,334,10,Amber,Casual Players,2,0
brhat20,2,2,34,4,2,1,421,7,Green,New,1,1
broccoli357,21,2,81,2,2,1,221,5,Green,Casual Players,1,0
brodjga3006,16,25,799,2,4,2,242,8,Green,Casual Players,1,0
bronnichka,4,15,2380,4,4,3,443,11,Green,Loyal Customers,1,2
browning106,27,3,217170,2,2,4,224,8,Green,Casual Players,1,0
bryydee420,6,3,202,3,2,2,322,7,Green,Casual Players,1,0
btc0665,29,1,1320,1,1,3,113,5,Green,Casual Players,1,0
btcbird1,26,1,1000,2,1,3,213,6,Green,Casual Players,1,0
btcmillionaire,29,1,100,1,1,1,111,3,Green,Casual Players,1,0
btcword,10,12,2036,3,4,3,343,10,Amber,Loyal Customers,2,2
bthames21,8,1,1000,3,1,3,313,7,Green,Casual Players,1,0
buddy13,36,1,425,1,1,2,112,4,Green,Casual Players,1,0
buddy2016,23,1,10,2,1,1,211,4,Green,Casual Players,1,0
budekita,39,8,389,1,3,2,132,6,Green,Casual Players,1,0
buive,32,3,1200,1,2,3,123,6,Green,Casual Players,1,0
bust333meeme,25,1,113000,2,1,4,214,7,Green,Casual Players,1,0
bustabit01,1,9,21110,4,3,4,434,11,Green,Casual Players,1,0
bustabitmoney,3,79,54897,4,4,4,444,12,Green,VIP,1,3
bustabot007,29,5,4513,1,3,3,133,7,Amber,Casual Players,2,0
bustabot420,14,2,202,3,2,2,322,7,Green,Casual Players,1,0
bustabuts,25,4,69,2,3,1,231,6,Green,Casual Players,1,0
bustabuts1,12,17,126367,3,4,4,344,11,Amber,Loyal Customers,2,2
bustabutss,25,1,120,2,1,2,212,5,Green,Casual Players,1,0
bustacoin2017,1,20,184,4,4,2,442,10,Green,Loyal Customers,1,2
bustaharris,12,1,20000,3,1,4,314,8,Green,Casual Players,1,0
bustaputaka,1,1,1599,4,1,3,413,8,Green,New,1,1
bustbigbitch,3,1,512,4,1,2,412,7,Green,New,1,1
bustedbits,20,13,13243,2,4,4,244,10,Red,Casual Players,3,0
busterharris,17,1,10000,2,1,4,214,7,Green,Casual Players,1,0
butaw,10,3,3400,3,2,3,323,8,Green,Casual Players,1,0
buxlover,32,14,2958,1,4,3,143,8,Amber,Casual Players,2,0
bvz,10,2,1035,3,2,3,323,8,Green,Casual Players,1,0
c1940112,30,9,68541,1,3,4,134,8,Amber,Casual Players,2,0
cHps,28,1,15,2,1,1,211,4,Green,Casual Players,1,0
cadet1111,28,1,100,2,1,1,211,4,Green,Casual Players,1,0
calvin1993,16,8,269,2,3,2,232,7,Green,Casual Players,1,0
calvin89,13,7,10414,3,3,4,334,10,Amber,Casual Players,2,0
calvinmoo,12,90,102,3,4,2,342,9,Green,Loyal Customers,1,2
camry,11,1,10000,3,1,4,314,8,Green,Casual Players,1,0
candyEmma,29,1,300,1,1,2,112,4,Green,Casual Players,1,0
cannabis,16,1,98,2,1,1,211,4,Green,Casual Players,1,0
cantosangelo8999,14,1,200,3,1,2,312,6,Green,Casual Players,1,0
caole,1,3,152000,4,2,4,424,10,Green,New,1,1
carmen_mancuso,26,1,10000,2,1,4,214,7,Green,Casual Players,1,0
carnelo,7,14,379,3,4,2,342,9,Green,Loyal Customers,1,2
casa999,16,1,1400,2,1,3,213,6,Green,Casual Players,1,0
catagious_cats,10,1,10,3,1,1,311,5,Green,Casual Players,1,0
catdog,35,12,3044,1,4,3,143,8,Amber,Casual Players,2,0
cayala0530,16,1,500,2,1,2,212,5,Green,Casual Players,1,0
cbguwop,32,7,310,1,3,2,132,6,Green,Casual Players,1,0
cbreezie,3,9,1080,4,3,3,433,10,Green,Casual Players,1,0
cculliton23,1,7,8817,4,3,4,434,11,Green,Casual Players,1,0
cedrick03,24,4,122,2,3,2,232,7,Green,Casual Players,1,0
celeng,7,12,609,3,4,2,342,9,Green,Loyal Customers,1,2
celeronius,11,2,2,3,2,1,321,6,Green,Casual Players,1,0
cfkinzer,14,4,12,3,3,1,331,7,Green,Casual Players,1,0
cflha1415,16,5,970,2,3,3,233,8,Amber,Casual Players,2,0
cgrant57,2,71,2642,4,4,3,443,11,Green,Loyal Customers,1,2
cgrant57test,8,30,79,3,4,1,341,8,Green,Loyal Customers,1,2
cgrant57test1,4,56,4121,4,4,3,443,11,Green,Loyal Customers,1,2
chanceee,34,2,60000,1,2,4,124,7,Green,Casual Players,1,0
char450,21,4,850,2,3,2,232,7,Green,Casual Players,1,0
char999,15,22,256997,3,4,4,344,11,Amber,Loyal Customers,2,2
charles150,8,62,87,3,4,1,341,8,Green,Loyal Customers,1,2
charlesgba42,40,1,17500,1,1,4,114,6,Green,Casual Players,1,0
cheatkeyyyy1231,36,1,1000,1,1,3,113,5,Green,Casual Players,1,0
checkMYnet,38,6,32926,1,3,4,134,8,Amber,Casual Players,2,0
checkedout,23,1,75,2,1,1,211,4,Green,Casual Players,1,0
chelle,2,2,74,4,2,1,421,7,Green,New,1,1
chelssi12,7,1,300,3,1,2,312,6,Green,Casual Players,1,0
chepsarov,1,23,46,4,4,1,441,9,Green,Loyal Customers,1,2
chernoby,2,2,8000,4,2,4,424,10,Green,New,1,1
cherrymobilej1,8,1,123,3,1,2,312,6,Green,Casual Players,1,0
cheshirecat,9,2,1460,3,2,3,323,8,Green,Casual Players,1,0
chilledhf,6,1,100,3,1,1,311,5,Green,Casual Players,1,0
chino2,35,1,1000,1,1,3,113,5,Green,Casual Players,1,0
chipcoi1307,24,9,120,2,3,2,232,7,Green,Casual Players,1,0
chokoy22,31,1,100,1,1,1,111,3,Green,Casual Players,1,0
choosen,35,18,9819,1,4,4,144,9,Red,Casual Players,3,0
choosy,8,1,74,3,1,1,311,5,Green,Casual Players,1,0
chudo3008,26,6,15,2,3,1,231,6,Green,Casual Players,1,0
chyvak,2,4,9,4,3,1,431,8,Green,Casual Players,1,0
cintayangterlupa,10,3,1710,3,2,3,323,8,Green,Casual Players,1,0
cjcoop,30,1,50,1,1,1,111,3,Green,Casual Players,1,0
clarkyclark,2,15,6349,4,4,4,444,12,Green,VIP,1,3
clemshl,36,3,315,1,2,2,122,5,Green,Casual Players,1,0
cliffhangers,29,23,982,1,4,3,143,8,Amber,Casual Players,2,0
cliffordaz,31,1,110,1,1,2,112,4,Green,Casual Players,1,0
climespace,41,1,1000,1,1,3,113,5,Green,Casual Players,1,0
cnb,6,10,18410,3,3,4,334,10,Amber,Casual Players,2,0
cocass69,13,2,5700,3,2,4,324,9,Green,Casual Players,1,0
cocoban,1,27,1436,4,4,3,443,11,Green,Loyal Customers,1,2
coday,11,2,5200,3,2,3,323,8,Green,Casual Players,1,0
coinlight,10,1,5008,3,1,3,313,7,Green,Casual Players,1,0
coinminers,1,51,974817,4,4,4,444,12,Green,VIP,1,3
comeonbaby123,21,1,1,2,1,1,211,4,Green,Casual Players,1,0
computerdata,30,2,2000,1,2,3,123,6,Green,Casual Players,1,0
conleyj01,7,25,1635,3,4,3,343,10,Amber,Loyal Customers,2,2
connbob,5,1,5288,4,1,3,413,8,Green,New,1,1
constant2,22,18,180,2,4,2,242,8,Green,Casual Players,1,0
contrav,5,15,902,4,4,3,443,11,Green,Loyal Customers,1,2
coolblown,1,96,250320,4,4,4,444,12,Green,VIP,1,3
cop,3,18,95,4,4,1,441,9,Green,Loyal Customers,1,2
corntamale,11,1,10000,3,1,4,314,8,Green,Casual Players,1,0
cortiarte,30,76,809,1,4,2,142,7,Green,Casual Players,1,0
cosmonaut_petrov,12,1,100,3,1,1,311,5,Green,Casual Players,1,0
covalsahio,4,6,44,4,3,1,431,8,Green,Casual Players,1,0
covalsanio,21,16,2914,2,4,3,243,9,Amber,Casual Players,2,0
cowbay,1,174,1740,4,4,3,443,11,Green,Loyal Customers,1,2
cowmoolestr,15,3,31,3,2,1,321,6,Green,Casual Players,1,0
cprakash813,38,1,100,1,1,1,111,3,Green,Casual Players,1,0
crackerjacker,1,21,36918,4,4,4,444,12,Green,VIP,1,3
cramcram21,7,1,100,3,1,1,311,5,Green,Casual Players,1,0
crazy1s,28,1,6,2,1,1,211,4,Green,Casual Players,1,0
crazymkfncono1,14,1,5000,3,1,3,313,7,Green,Casual Players,1,0
crazywitch2,1,37,1069,4,4,3,443,11,Green,Loyal Customers,1,2
cre3p3rman,15,3,139,3,2,2,322,7,Green,Casual Players,1,0
creativityliam,34,2,14000,1,2,4,124,7,Green,Casual Players,1,0
creek,27,2,85,2,2,1,221,5,Green,Casual Players,1,0
cristiano282,35,4,70,1,3,1,131,5,Green,Casual Players,1,0
crma49,1,19,3742,4,4,3,443,11,Green,Loyal Customers,1,2
cromvel,12,31,1216,3,4,3,343,10,Amber,Loyal Customers,2,2
cruxxy4,25,1,26000,2,1,4,214,7,Green,Casual Players,1,0
cry050505,33,6,6,1,3,1,131,5,Green,Casual Players,1,0
crypto2016,22,2,9000,2,2,4,224,8,Green,Casual Players,1,0
crysis95,7,6,10023,3,3,4,334,10,Amber,Casual Players,2,0
csfire,6,2,482,3,2,2,322,7,Green,Casual Players,1,0
csteeb,23,1,1,2,1,1,211,4,Green,Casual Players,1,0
ctozdes123,14,4,1940,3,3,3,333,9,Amber,Casual Players,2,0
cuhboy13,24,1,5000,2,1,3,213,6,Green,Casual Players,1,0
cukherif,10,5,16,3,3,1,331,7,Green,Casual Players,1,0
cuongbitcoin,2,4,31800,4,3,4,434,11,Green,Casual Players,1,0
cuppy2,27,11,17709,2,4,4,244,10,Red,Casual Players,3,0
cvak,30,30,478,1,4,2,142,7,Green,Casual Players,1,0
cxdw,1,176,1877,4,4,3,443,11,Green,Loyal Customers,1,2
cxm_6,1,177,2291,4,4,3,443,11,Green,Loyal Customers,1,2
cyrej,25,1,1000,2,1,3,213,6,Green,Casual Players,1,0
czop1223,12,2,694,3,2,2,322,7,Green,Casual Players,1,0
d124354,39,1,65122,1,1,4,114,6,Green,Casual Players,1,0
dab,37,5,27,1,3,1,131,5,Green,Casual Players,1,0
dagentlemang,10,19,13319,3,4,4,344,11,Amber,Loyal Customers,2,2
dahoraxd,34,3,960,1,2,3,123,6,Green,Casual Players,1,0
dakadea,30,72,877,1,4,2,142,7,Green,Casual Players,1,0
daman05,8,19,3246,3,4,3,343,10,Amber,Loyal Customers,2,2
damighty1337,41,1,3,1,1,1,111,3,Green,Casual Players,1,0
dan_kt,11,6,7,3,3,1,331,7,Green,Casual Players,1,0
dana101,20,1,8649,2,1,4,214,7,Green,Casual Players,1,0
danilmajor22,13,1,200,3,1,2,312,6,Green,Casual Players,1,0
danir,5,56,2206,4,4,3,443,11,Green,Loyal Customers,1,2
danitravi,13,1,100,3,1,1,311,5,Green,Casual Players,1,0
dantrapp,1,19,1212,4,4,3,443,11,Green,Loyal Customers,1,2
dardoalbarracin,14,2,12,3,2,1,321,6,Green,Casual Players,1,0
darkas91,5,5,11,4,3,1,431,8,Green,Casual Players,1,0
darkcam17,12,6,98,3,3,1,331,7,Green,Casual Players,1,0
darkfreeze,35,13,117,1,4,2,142,7,Green,Casual Players,1,0
darkfreeze2,13,34,288,3,4,2,342,9,Green,Loyal Customers,1,2
darkfreeze3,35,3,8,1,2,1,121,4,Green,Casual Players,1,0
darkfreeze4,35,1,2,1,1,1,111,3,Green,Casual Players,1,0
darkfreeze5,35,1,2,1,1,1,111,3,Green,Casual Players,1,0
darkiazz,11,1,1,3,1,1,311,5,Green,Casual Players,1,0
dastfunto,9,1,1000,3,1,3,313,7,Green,Casual Players,1,0
david2174,17,2,600,2,2,2,222,6,Green,Casual Players,1,0
davidml,2,21,23088,4,4,4,444,12,Green,VIP,1,3
davidruch,12,1,200,3,1,2,312,6,Green,Casual Players,1,0
davidyepez,12,5,31000,3,3,4,334,10,Amber,Casual Players,2,0
daviscouch,25,2,10000,2,2,4,224,8,Green,Casual Players,1,0
dbitsx4,8,25,3613,3,4,3,343,10,Amber,Loyal Customers,2,2
ddimovskiy,7,4,133,3,3,2,332,8,Green,Casual Players,1,0
ddosattacks,11,1,200,3,1,2,312,6,Green,Casual Players,1,0
deCisIv,30,17,482,1,4,2,142,7,Green,Casual Players,1,0
deadlydata,40,1,1,1,1,1,111,3,Green,Casual Players,1,0
deadximpulse,26,2,45,2,2,1,221,5,Green,Casual Players,1,0
debarkon,4,8,86,4,3,1,431,8,Green,Casual Players,1,0
decisions,9,2,98,3,2,1,321,6,Green,Casual Players,1,0
decoder,2,3,9,4,2,1,421,7,Green,New,1,1
dedess,22,1,1000,2,1,3,213,6,Green,Casual Players,1,0
dedok1999,16,2,450,2,2,2,222,6,Green,Casual Players,1,0
dedok3000,37,2,300,1,2,2,122,5,Green,Casual Players,1,0
deil,2,43,343,4,4,2,442,10,Green,Loyal Customers,1,2
dejay12345,16,1,500,2,1,2,212,5,Green,Casual Players,1,0
demirhan,6,42,12203,3,4,4,344,11,Amber,Loyal Customers,2,2
den1298,2,14,166,4,4,2,442,10,Green,Loyal Customers,1,2
den1983,8,1,2,3,1,1,311,5,Green,Casual Players,1,0
dentalo,28,1,300000,2,1,4,214,7,Green,Casual Players,1,0
dento,1,1,50,4,1,1,411,6,Green,New,1,1
denyardv,24,5,122,2,3,2,232,7,Green,Casual Players,1,0
dermitname,27,41,329316,2,4,4,244,10,Red,Casual Players,3,0
destinychild,29,2,68000,1,2,4,124,7,Green,Casual Players,1,0
destroblaze,2,11,171,4,4,2,442,10,Green,Loyal Customers,1,2
desudesu,2,3,125781,4,2,4,424,10,Green,New,1,1
deva,11,6,3649,3,3,3,333,9,Amber,Casual Players,2,0
devil1,4,1,14556,4,1,4,414,9,Green,New,1,1
devilsK,32,4,2396,1,3,3,133,7,Amber,Casual Players,2,0
dewatai,4,10,6225,4,3,4,434,11,Green,Casual Players,1,0
dezard26,12,1,10,3,1,1,311,5,Green,Casual Players,1,0
dfinn24,17,1,1000,2,1,3,213,6,Green,Casual Players,1,0
dg93119,5,54,203505,4,4,4,444,12,Green,VIP,1,3
dhanics,31,10,7237,1,3,4,134,8,Amber,Casual Players,2,0
dharmendra,1,37,18375,4,4,4,444,12,Green,VIP,1,3
dheeru,22,15,12698,2,4,4,244,10,Red,Casual Players,3,0
dhool758,29,2,40,1,2,1,121,4,Green,Casual Players,1,0
diana,3,51,160970,4,4,4,444,12,Green,VIP,1,3
diceandbust,31,2,158,1,2,2,122,5,Green,Casual Players,1,0
dicks_in_mi_bum,34,1,213000,1,1,4,114,6,Green,Casual Players,1,0
